geo,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,5.36,,3.95,3.26,3.74,4.01,3.09,13.1,,,14.8,14.4,14.5,12.2,,,,,,14.8,,10,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,1.58,1.42,0.85,0.67,0.75,0.6,0.76,0.46,0.41,0.31,0.28,0.26,0.27,0.28,0.33,0.25,0.27,0.2,0.26,0.17,0.16,0.15,0.19,0.18,0.15,0.2,0.17,0.08
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,0.01,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,17.2,15.1,15.7,15.7,16.7,16.7,16.4,16.4,18.3,18.3,16.2,16.2,17,17.8,16.4,15.2,,14.4,13.6,12.9,15,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,9.4,6.8,5,4.5,5.08,5.86,6.49,6.96,6.45,6.05,6.72,6.84,6.23,5.42,4.76,5.4,5.54,4.81,4.45,4.74,4.06,3.57
Panama,,,,,,,,,,,,,6.46,4.66,5.48,5.69,5.82,7.21,8.3,7.68,,,5.54,4.9,4.1,4.54,4.47,3.8,3.21,2.86,2.97,3.44,2.94,3.08,2.78,2.77,2.84,2.33,2.5,3.69,2.99,2.76,3.3,3.13,3.25,3.19,3.32,3.35
Paraguay,,,,,,,,,,,,,,,,,,,,,0.36,0.18,0.86,1.54,2.2,,3.27,9.09,12.2,13.6,,13.3,13.7,10.8,10.9,10.2,10.9,8.63,7.99,9.25,8.08,7.22,6.68,6.46,5.63,5.51,6.04,5.22
Peru,,,,,,,,,,,,,,,,,,,,,2.81,2.11,2.13,3.19,3.66,2.84,5.07,4.76,4.5,4,4.92,4.69,10.7,11.6,11.6,10.7,10.4,8.95,8.95,9.05,8.88,9.2,8.2,8.05,8.4,7.53,7.21,7.05
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89,10.2,9.41,10.6,10.1,9.76,8.61,9.12,9.53,9.46,9.35,9.12,8.75,8.62,8.26,7.75,7.99,,5.87,4.33
Poland,,,,,,,,,,,,,,,,,,,,,,,5.53,5.46,4.82,4.58,4.73,4.14,3.42,2.98,3.38,4.17,4.48,3.92,3.89,3.82,3.16,2.79,2.7,2.5,2.5,2.51,2.37,2.17,1.98,1.94,1.68,1.67
Portugal,,,,,,,,,,,,,,,,,3.29,3.09,3.06,2.73,2.03,2.16,1.2,1.27,1.54,1.47,1.27,1.11,1.64,1.38,1.35,1.13,1,1.04,0.82,0.93,0.73,0.71,0.68,0.63,0.72,0.45,0.57,0.59,0.47,0.44,0.61,0.44
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.06,,0,0,
Romania,,,,,,,,,,,,,,,,,,,,,,3.47,6.36,7.24,7.52,6.79,8.12,9.49,10.4,11,11.4,10.9,8.21,8.36,7.71,7.8,7.48,6.48,5.97,6.14,6.54,6.56,6.45,6.28,6.31,5.5,4.83,4.67
Russia,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.13,0.14,0.18,0.08,0.1,0.2,0.15,0.06,0.09,0.12,0.1,0.12,0.1,0.12,0.15,0.35,0.48,0.3,0.43,0.38,0.38,0.36,0.4,0.37
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,,9.83,,,,,,,,,,5.86,,13.9,,,1.52
Samoa,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,51.3,,,,,28.3,,45.2,,,,0.78,,0.78,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.15,0.12,0.08,0.09,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,3.9,3.9,3.9,0.62,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,
Senegal,,,,,,,,,,,,,,,,,,,,,,25.3,,,,,,,,,,23.5,,,,,,,,,,18.2,,,,20.8,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,4.12,3.57,3.07,4.07,4.49,4.29,4.47,4.2,3.81,4.4,4.41,4.22,2.97
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,0.28,,0.14,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,6.64,,,
Singapore,,,,,,,,,,,,,,,,,0.85,1.16,0.74,0.46,,0.42,0.33,0.26,0.39,0.76,0.5,0.34,0.43,0.48,0.18,0.35,0.35,0.34,0.34,,0.36,0.44,0.33,0.33,0.35,0.41,0.36,0.31,0.3,0.28,0.33,0.28
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,0.13,,,0.13,0.04,0.04,0.06,0.09,0.07,0.08,0.04,0.05,0.05,0.02,0.07,0.05,0.05
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,2,3.52,2.96,3.12,4.94,5.23,4.44,3.35,3.81,3.24,3.01,4.24,3.42,3.01,3.21,3.23,4.25,3.81,3.35,3.1,3.75,4.07,2.88,1.77,2.22
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.44,0.64,0.36,0.32,0.41,0.4,0.56,0.47,0.38,0.37,0.35,0.37,0.3,0.36
South Korea,13.4,12.5,13.1,14.2,12.5,12,11.8,10.2,8.71,7.42,7.26,7.42,6.67,5.81,4.72,4.4,4.33,3.69,3.16,2.8,2.46,2.35,2.21,2.08,1.83,1.67,1.67,1.56,1.92,2.08,1.96,1.85,1.66,1.33,1.26,1.28,1.19,1.2,1.23,1.28,1.3,1.19,1.16,1.1,1.02,0.98,0.99,0.99
